site	year	env	plot	Ntrt	rep	dm
Ros	2008	R08	707	56	2	9.55
Ros	2008	R08	801	0	2	5.94
Ros	2008	R08	802	168	2	6.31
Ros	2008	R08	803	168	2	7.66
Ros	2008	R08	804	112	2	9.59
Ros	2008	R08	901	56	3	9.43
Ros	2008	R08	902	168	3	8.54
Ros	2008	R08	903	0	3	4.24
Ros	2008	R08	904	224	3	9.8
Ros	2008	R08	905	56	3	8.38
Ros	2008	R08	906	168	3	9.77
Ros	2008	R08	907	112	3	10.14
Ros	2008	R08	1001	224	3	9.66
Ros	2008	R08	1002	0	3	4.71
Ros	2008	R08	1003	112	3	9.36
Ros	2008	R08	1004	168	3	10.86
Ros	2008	R08	1005	56	3	8.02
Ros	2008	R08	1006	224	3	11.12
Ros	2008	R08	1007	0	3	5.7
Ros	2008	R08	1101	0	3	7.87
Ros	2008	R08	1102	112	3	10.05
Ros	2008	R08	1103	224	3	8.87
Ros	2008	R08	1104	112	3	9.96
Ros	2008	R08	1105	168	3	9.67
Ros	2008	R08	1106	112	3	9.21
Ros	2008	R08	1107	224	3	9.46
Ros	2008	R08	1201	56	3	8.62
Ros	2008	R08	1202	0	3	7.27
Ros	2008	R08	1203	168	3	8.87
Ros	2008	R08	1204	56	3	9.9
Ros	2008	R08	1301	0	4	6.84
Ros	2008	R08	1302	224	4	10.37
Ros	2008	R08	1303	224	4	8.67
Ros	2008	R08	1304	56	4	8.6
Ros	2008	R08	1305	112	4	9.9
Ros	2008	R08	1306	224	4	9.96
Ros	2008	R08	1307	112	4	9.33
Ros	2008	R08	1401	56	4	9.33
Ros	2008	R08	1402	224	4	9.59
Ros	2008	R08	1403	168	4	9.6
Ros	2008	R08	1404	112	4	9.07
Ros	2008	R08	1405	0	4	5.8
Ros	2008	R08	1406	168	4	9.7
Ros	2008	R08	1407	56	4	9.18
Ros	2008	R08	1501	112	4	10.43
Ros	2008	R08	1502	168	4	9.48
Ros	2008	R08	1503	56	4	7.52
Ros	2008	R08	1504	56	4	6.47
Ros	2008	R08	1505	0	4	7.43
Ros	2008	R08	1506	168	4	9.49
Ros	2008	R08	1507	0	4	6.43
Ros	2008	R08	1601	0	4	7.78
Ros	2008	R08	1602	224	4	9.82
Ros	2008	R08	1603	168	4	6.23
Ros	2008	R08	1604	112	4	7.35
Aus	2009	A09	101	56	1	6.19
Aus	2009	A09	102	112	1	7.05
Aus	2009	A09	103	0	1	5.15
Aus	2009	A09	104	224	1	7.98
Aus	2009	A09	105	168	1	6.78
Aus	2009	A09	106	168	1	7.93
Aus	2009	A09	107	224	1	6.94
Aus	2009	A09	108	56	1	6.06
Aus	2009	A09	109	224	1	8.7
Aus	2009	A09	110	56	1	7.26
Aus	2009	A09	111	0	1	4.38
Aus	2009	A09	112	224	1	6.4
Aus	2009	A09	113	168	1	6.59
Aus	2009	A09	114	56	1	10.06
Aus	2009	A09	115	168	1	5.66
Aus	2009	A09	116	224	1	2.86
Aus	2009	A09	117	0	1	4.96
Aus	2009	A09	118	112	1	6.64
Aus	2009	A09	119	168	1	NA
Aus	2009	A09	120	0	1	4.4
Aus	2009	A09	121	112	1	5.68
Aus	2009	A09	122	0	1	3.34
Aus	2009	A09	123	112	1	5.52
Aus	2009	A09	124	112	1	4.27
Aus	2009	A09	125	56	1	3.84
Aus	2009	A09	201	168	2	4.38
Aus	2009	A09	202	112	2	3.26
Aus	2009	A09	203	0	2	2.19
Aus	2009	A09	204	168	2	8.97
Aus	2009	A09	205	112	2	9.55
Aus	2009	A09	206	56	2	7.55
Aus	2009	A09	207	168	2	8.27
Aus	2009	A09	208	224	2	6.75
Aus	2009	A09	209	224	2	7.29
Aus	2009	A09	210	112	2	5.58
Aus	2009	A09	211	224	2	3.95
Aus	2009	A09	212	0	2	3.18
Aus	2009	A09	213	0	2	3.34
Aus	2009	A09	214	56	2	9.45
Aus	2009	A09	215	112	2	7.07
Aus	2009	A09	216	56	2	6.94
Aus	2009	A09	217	0	2	3.98
Aus	2009	A09	218	224	2	7.9
Aus	2009	A09	219	224	2	7.37
Aus	2009	A09	220	56	2	7.79
Aus	2009	A09	221	56	2	5.52
Aus	2009	A09	222	0	2	1.55
Aus	2009	A09	223	168	2	5.79
Aus	2009	A09	224	168	2	NA
Aus	2009	A09	225	112	2	4.32
Aus	2009	A09	301	56	3	7.69
Aus	2009	A09	302	168	3	6.75
Aus	2009	A09	303	0	3	3.79
Aus	2009	A09	304	224	3	4.11
Aus	2009	A09	305	56	3	5.84
Aus	2009	A09	306	168	3	8.75
Aus	2009	A09	307	112	3	5.12
Aus	2009	A09	308	224	3	4.35
Aus	2009	A09	309	0	3	4.7
Aus	2009	A09	310	112	3	6.16
Aus	2009	A09	311	168	3	5.92
Aus	2009	A09	312	56	3	7.77
Aus	2009	A09	313	224	3	5.28
Aus	2009	A09	314	0	3	2.35
Aus	2009	A09	315	0	3	5.84
Aus	2009	A09	316	112	3	8.59
Aus	2009	A09	317	224	3	3.79
Aus	2009	A09	318	112	3	8.49
Aus	2009	A09	319	168	3	6.91
Aus	2009	A09	320	112	3	7.26
Aus	2009	A09	321	224	3	8.06
Aus	2009	A09	322	56	3	5.52
Aus	2009	A09	323	0	3	2.48
Aus	2009	A09	324	168	3	11.42
Aus	2009	A09	325	56	3	8.59
Aus	2009	A09	401	0	4	3.1
Aus	2009	A09	402	224	4	5.07
Aus	2009	A09	403	224	4	NA
Aus	2009	A09	404	56	4	8.51
Aus	2009	A09	405	112	4	9.42
Aus	2009	A09	406	224	4	8.75
Aus	2009	A09	407	112	4	5.98
Aus	2009	A09	408	56	4	6.78
Aus	2009	A09	409	224	4	8.14
Aus	2009	A09	410	168	4	2.72
Aus	2009	A09	411	112	4	9.02
Aus	2009	A09	412	0	4	3.04
Aus	2009	A09	413	168	4	7.74
Aus	2009	A09	414	56	4	6.99
Aus	2009	A09	415	112	4	9.66
Aus	2009	A09	416	168	4	6.8
Aus	2009	A09	417	56	4	8.81
Aus	2009	A09	418	56	4	10.76
Aus	2009	A09	419	0	4	3.95
Aus	2009	A09	420	168	4	7.95
Aus	2009	A09	421	0	4	3.58
Aus	2009	A09	422	0	4	5.1
Aus	2009	A09	423	224	4	5.02
Aus	2009	A09	424	168	4	6.8
Aus	2009	A09	425	112	4	7.77
Lam	2009	L09	101	56	1	4.94
Lam	2009	L09	102	112	1	4.55
Lam	2009	L09	103	0	1	3.49
Lam	2009	L09	104	224	1	5.91
Lam	2009	L09	105	168	1	4.97
Lam	2009	L09	106	168	1	4.34
Lam	2009	L09	107	224	1	4.38
Lam	2009	L09	108	56	1	5.08
Lam	2009	L09	109	224	1	5.51
Lam	2009	L09	110	56	1	4.47
Lam	2009	L09	111	0	1	3.14
